market,itemName,image,period,price,disc_price
costco,럭스나인 천연라텍스 핫앤쿨 에어 토퍼(9.0cm)-슈퍼싱글,/medias/sys_master/images/h32/h01/11204774756382.jpg,행사기간 2023/01/26 - 2023/02/12,"239,900원","할인금액 40,000원"
costco,밀레 진공 청소기 Classic C1 Junior Powerline,/medias/sys_master/images/h5d/h67/12988240658462.jpg,행사기간 2023/01/30 - 2023/02/12,"229,900원","할인금액 60,000원"
costco,보스 사운드링크 미니2 SE 클럽 블루투스 스피커,/medias/sys_master/images/h6f/h93/46344177287198.jpg,행사기간 2023/01/30 - 2023/02/12,"169,900원","할인금액 30,000원"
costco,종근당건강 락토핏 플러스 아연 선물세트 x 5,/medias/sys_master/images/h13/hd1/134585079758878.jpg,행사기간 2023/01/18 - 2023/02/05,"162,900원","할인금액 15,000원"
costco,AMT 프로 시리즈 그리들팬 35CM,/medias/sys_master/images/h1c/h58/49482008592414.jpg,행사기간 2023/01/30 - 2023/02/12,"159,900원","할인금액 30,000원"
costco,워터픽 구강세정기 콤보팩  WP-150K/WF10K,/medias/sys_master/images/hac/h07/81401283280926.jpg,행사기간 2023/01/23 - 2023/02/05,"134,900원","할인금액 20,000원"
costco,파세코야외용 캠핑 난로 PKH-3500K,/medias/sys_master/images/hd9/h7e/122272172179486.jpg,행사기간 2023/01/30 - 2023/02/12,"126,900원","할인금액 20,000원"
costco,미국산냉장토마호크700g +엘본700g +티본700g,/medias/sys_master/images/h0d/hf5/49481983066142.jpg,행사기간 2023/01/30 - 2023/02/05,"124,900원","할인금액 15,000원"
costco,"미국산 양념 LA 꽃갈비, 소불고기 콤보팩",/medias/sys_master/images/h20/hef/44497698684958.jpg,행사기간 2023/01/30 - 2023/02/12,"122,900원","할인금액 13,000원"
costco,이메텍 순면 전기요- 더블,/medias/sys_master/images/he1/h38/119879411597342.jpg,행사기간 2023/01/30 - 2023/02/12,"112,900원","할인금액 20,000원"
costco,커버 야외용 애견 하우스,/medias/sys_master/images/h01/h17/11257556434974.jpg,행사기간 2023/01/30 - 2023/02/12,"109,900원","할인금액 30,000원"
costco,미즈노 어반 005 보스턴 백,/medias/sys_master/images/ha0/h51/133395118260254.jpg,행사기간 2023/01/23 - 2023/02/05,"107,900원","할인금액 20,000원"
costco,이메텍 포켓 전기 담요,/medias/sys_master/images/h2d/h24/81400855953438.jpg,행사기간 2023/01/20 - 2023/02/05,"104,900원","할인금액 20,000원"
costco,레고 닌자고 카이의 골든 드래곤 레이더 71773,/medias/sys_master/images/h9b/h73/117901389660190.jpg,행사기간 2023/01/30 - 2023/02/12,"98,900원","할인금액 18,000원"
costco,펠로우즈 문서세단기 12C,/medias/sys_master/images/h1c/ha2/50942017470494.jpg,행사기간 2023/01/30 - 2023/02/12,"98,900원","할인금액 31,000원"
costco,미즈노넥스라이트 지에스 보아 남성 골프화,/medias/sys_master/images/hb7/h96/118247583547422.jpg,행사기간 2023/01/30 - 2023/02/12,"94,900원","할인금액 35,000원"
costco,휴롬 티 메이커 1.4L,/medias/sys_master/images/hbf/ha2/15614959157278.jpg,행사기간 2023/01/30 - 2023/02/12,"79,900원","할인금액 12,000원"
costco,레고 프렌즈 우정 트리하우스 41703,/medias/sys_master/images/h3a/h84/99879884455966.jpg,행사기간 2023/01/23 - 2023/02/05,"78,900원","할인금액 20,000원"
